Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.468E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
5.297E+02  1.648E-25  2.315E-15
5.248E+02  1.713E-25  2.385E-15
5.200E+02  1.780E-25  2.456E-15
5.152E+02  1.850E-25  2.529E-15
5.105E+02  1.923E-25  2.604E-15
5.058E+02  1.999E-25  2.682E-15
5.012E+02  2.077E-25  2.762E-15
4.966E+02  2.159E-25  2.844E-15
4.920E+02  2.244E-25  2.929E-15
4.875E+02  2.332E-25  3.016E-15
4.831E+02  2.423E-25  3.105E-15
4.786E+02  2.518E-25  3.197E-15
4.742E+02  2.617E-25  3.292E-15
4.699E+02  2.719E-25  3.389E-15
4.656E+02  2.826E-25  3.490E-15
4.613E+02  2.936E-25  3.593E-15
4.571E+02  3.051E-25  3.699E-15
4.529E+02  3.170E-25  3.808E-15
4.487E+02  3.294E-25  3.920E-15
4.446E+02  3.422E-25  4.036E-15
4.406E+02  3.555E-25  4.154E-15
4.365E+02  3.693E-25  4.276E-15
4.325E+02  3.837E-25  4.402E-15
4.285E+02  3.986E-25  4.531E-15
4.246E+02  4.140E-25  4.664E-15
4.207E+02  4.301E-25  4.800E-15
4.169E+02  4.468E-25  4.940E-15
4.130E+02  4.640E-25  5.084E-15
4.093E+02  4.820E-25  5.233E-15
4.055E+02  5.006E-25  5.385E-15
4.018E+02  5.199E-25  5.541E-15
3.981E+02  5.400E-25  5.702E-15
3.945E+02  5.608E-25  5.868E-15
3.908E+02  5.824E-25  6.038E-15
3.873E+02  6.048E-25  6.213E-15
3.837E+02  6.281E-25  6.392E-15
3.802E+02  6.522E-25  6.577E-15
3.767E+02  6.772E-25  6.766E-15
3.733E+02  7.031E-25  6.961E-15
3.698E+02  7.300E-25  7.161E-15
3.664E+02  7.579E-25  7.366E-15
3.631E+02  7.868E-25  7.577E-15
3.597E+02  8.167E-25  7.794E-15
3.565E+02  8.478E-25  8.016E-15
3.532E+02  8.800E-25  8.244E-15
3.499E+02  9.134E-25  8.478E-15
3.467E+02  9.480E-25  8.719E-15
3.436E+02  9.838E-25  8.966E-15
3.404E+02  1.021E-24  9.219E-15
3.373E+02  1.059E-24  9.479E-15
3.342E+02  1.099E-24  9.745E-15
3.311E+02  1.141E-24  1.002E-14
3.281E+02  1.183E-24  1.030E-14
3.251E+02  1.228E-24  1.059E-14
3.221E+02  1.274E-24  1.088E-14
3.192E+02  1.321E-24  1.118E-14
3.162E+02  1.370E-24  1.149E-14
3.133E+02  1.421E-24  1.181E-14
3.105E+02  1.474E-24  1.214E-14
3.076E+02  1.528E-24  1.247E-14
3.048E+02  1.585E-24  1.281E-14
3.020E+02  1.643E-24  1.316E-14
2.992E+02  1.704E-24  1.352E-14
2.965E+02  1.766E-24  1.389E-14
2.938E+02  1.831E-24  1.427E-14
2.911E+02  1.898E-24  1.465E-14
2.884E+02  1.967E-24  1.505E-14
2.858E+02  2.038E-24  1.545E-14
2.831E+02  2.112E-24  1.586E-14
2.805E+02  2.189E-24  1.629E-14
2.780E+02  2.268E-24  1.672E-14
2.754E+02  2.349E-24  1.716E-14
2.729E+02  2.434E-24  1.762E-14
2.704E+02  2.521E-24  1.808E-14
2.679E+02  2.612E-24  1.856E-14
2.655E+02  2.705E-24  1.905E-14
2.630E+02  2.801E-24  1.955E-14
2.606E+02  2.901E-24  2.005E-14
2.582E+02  3.004E-24  2.058E-14
2.559E+02  3.110E-24  2.110E-14
2.535E+02  3.218E-24  2.164E-14
2.512E+02  3.330E-24  2.219E-14
2.489E+02  3.444E-24  2.273E-14
2.466E+02  3.559E-24  2.328E-14
2.443E+02  3.677E-24  2.383E-14
2.421E+02  3.798E-24  2.439E-14
2.399E+02  3.922E-24  2.495E-14
2.377E+02  4.047E-24  2.551E-14
2.355E+02  4.176E-24  2.609E-14
2.333E+02  4.308E-24  2.667E-14
2.312E+02  4.444E-24  2.725E-14
2.291E+02  4.583E-24  2.785E-14
2.270E+02  4.726E-24  2.846E-14
2.249E+02  4.873E-24  2.907E-14
2.228E+02  5.024E-24  2.970E-14
2.208E+02  5.178E-24  3.033E-14
2.188E+02  5.337E-24  3.097E-14
2.168E+02  5.500E-24  3.162E-14
2.148E+02  5.666E-24  3.228E-14
2.128E+02  5.837E-24  3.295E-14
2.109E+02  6.012E-24  3.363E-14
2.089E+02  6.191E-24  3.431E-14
2.070E+02  6.375E-24  3.500E-14
2.051E+02  6.562E-24  3.570E-14
2.032E+02  6.755E-24  3.641E-14
2.014E+02  6.951E-24  3.713E-14
1.995E+02  7.152E-24  3.786E-14
1.977E+02  7.358E-24  3.859E-14
1.959E+02  7.569E-24  3.933E-14
1.941E+02  7.784E-24  4.007E-14
1.923E+02  8.004E-24  4.083E-14
1.905E+02  8.229E-24  4.159E-14
1.888E+02  8.459E-24  4.236E-14
1.871E+02  8.693E-24  4.314E-14
1.854E+02  8.933E-24  4.392E-14
1.837E+02  9.178E-24  4.471E-14
1.820E+02  9.429E-24  4.551E-14
1.803E+02  9.684E-24  4.632E-14
1.786E+02  9.945E-24  4.713E-14
1.770E+02  1.021E-23  4.795E-14
1.754E+02  1.048E-23  4.877E-14
1.738E+02  1.076E-23  4.961E-14
1.722E+02  1.104E-23  5.044E-14
1.706E+02  1.133E-23  5.129E-14
1.690E+02  1.163E-23  5.215E-14
1.675E+02  1.193E-23  5.301E-14
1.660E+02  1.224E-23  5.388E-14
1.644E+02  1.255E-23  5.476E-14
1.629E+02  1.288E-23  5.565E-14
1.614E+02  1.320E-23  5.654E-14
1.600E+02  1.354E-23  5.745E-14
1.585E+02  1.388E-23  5.836E-14
1.570E+02  1.423E-23  5.929E-14
1.556E+02  1.459E-23  6.023E-14
