Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 9.211E+01 = <U> 
     mmp83 = radfield
 4.111E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.028E+03  1.264E-26  3.445E-16
1.019E+03  1.315E-26  3.554E-16
1.009E+03  1.369E-26  3.665E-16
1.000E+03  1.425E-26  3.780E-16
9.908E+02  1.483E-26  3.899E-16
9.817E+02  1.544E-26  4.021E-16
9.727E+02  1.607E-26  4.147E-16
9.638E+02  1.673E-26  4.278E-16
9.550E+02  1.742E-26  4.412E-16
9.462E+02  1.813E-26  4.550E-16
9.376E+02  1.887E-26  4.693E-16
9.290E+02  1.964E-26  4.840E-16
9.204E+02  2.044E-26  4.991E-16
9.120E+02  2.128E-26  5.148E-16
9.036E+02  2.215E-26  5.309E-16
8.954E+02  2.305E-26  5.475E-16
8.872E+02  2.399E-26  5.646E-16
8.790E+02  2.497E-26  5.822E-16
8.710E+02  2.599E-26  6.004E-16
8.630E+02  2.705E-26  6.191E-16
8.551E+02  2.815E-26  6.384E-16
8.472E+02  2.929E-26  6.583E-16
8.395E+02  3.048E-26  6.787E-16
8.318E+02  3.172E-26  6.998E-16
8.241E+02  3.301E-26  7.216E-16
8.166E+02  3.435E-26  7.440E-16
8.091E+02  3.574E-26  7.670E-16
8.017E+02  3.719E-26  7.908E-16
7.943E+02  3.869E-26  8.153E-16
7.870E+02  4.026E-26  8.405E-16
7.798E+02  4.189E-26  8.665E-16
7.727E+02  4.358E-26  8.933E-16
7.656E+02  4.535E-26  9.209E-16
7.586E+02  4.718E-26  9.493E-16
7.516E+02  4.908E-26  9.786E-16
7.447E+02  5.107E-26  1.009E-15
7.379E+02  5.313E-26  1.040E-15
7.311E+02  5.528E-26  1.072E-15
7.244E+02  5.752E-26  1.105E-15
7.178E+02  5.985E-26  1.139E-15
7.112E+02  6.227E-26  1.175E-15
7.047E+02  6.479E-26  1.211E-15
6.982E+02  6.741E-26  1.248E-15
6.918E+02  7.013E-26  1.287E-15
6.855E+02  7.297E-26  1.327E-15
6.792E+02  7.592E-26  1.368E-15
6.730E+02  7.898E-26  1.410E-15
6.668E+02  8.216E-26  1.453E-15
6.607E+02  8.547E-26  1.498E-15
6.546E+02  8.893E-26  1.544E-15
6.486E+02  9.253E-26  1.592E-15
6.427E+02  9.627E-26  1.641E-15
6.368E+02  1.002E-25  1.692E-15
6.310E+02  1.042E-25  1.744E-15
6.252E+02  1.084E-25  1.798E-15
6.194E+02  1.128E-25  1.854E-15
6.138E+02  1.174E-25  1.911E-15
6.081E+02  1.222E-25  1.971E-15
6.026E+02  1.271E-25  2.032E-15
5.970E+02  1.323E-25  2.095E-15
5.916E+02  1.376E-25  2.159E-15
5.861E+02  1.432E-25  2.226E-15
5.808E+02  1.490E-25  2.295E-15
5.754E+02  1.550E-25  2.366E-15
5.702E+02  1.613E-25  2.439E-15
5.649E+02  1.678E-25  2.515E-15
5.598E+02  1.746E-25  2.593E-15
5.546E+02  1.817E-25  2.673E-15
5.495E+02  1.891E-25  2.756E-15
5.445E+02  1.967E-25  2.841E-15
5.395E+02  2.047E-25  2.929E-15
5.346E+02  2.130E-25  3.020E-15
5.297E+02  2.216E-25  3.114E-15
5.248E+02  2.306E-25  3.210E-15
5.200E+02  2.399E-25  3.310E-15
5.152E+02  2.497E-25  3.412E-15
5.105E+02  2.598E-25  3.518E-15
5.058E+02  2.703E-25  3.627E-15
5.012E+02  2.812E-25  3.739E-15
4.966E+02  2.926E-25  3.855E-15
4.920E+02  3.045E-25  3.974E-15
4.875E+02  3.168E-25  4.097E-15
4.831E+02  3.296E-25  4.223E-15
4.786E+02  3.429E-25  4.354E-15
4.742E+02  3.568E-25  4.488E-15
4.699E+02  3.712E-25  4.627E-15
4.656E+02  3.862E-25  4.770E-15
4.613E+02  4.019E-25  4.917E-15
4.571E+02  4.181E-25  5.069E-15
4.529E+02  4.350E-25  5.226E-15
4.487E+02  4.525E-25  5.387E-15
4.446E+02  4.708E-25  5.553E-15
4.406E+02  4.898E-25  5.724E-15
4.365E+02  5.095E-25  5.900E-15
4.325E+02  5.301E-25  6.081E-15
4.285E+02  5.514E-25  6.268E-15
4.246E+02  5.736E-25  6.461E-15
4.207E+02  5.968E-25  6.660E-15
4.169E+02  6.208E-25  6.864E-15
4.130E+02  6.458E-25  7.075E-15
4.093E+02  6.717E-25  7.292E-15
4.055E+02  6.988E-25  7.516E-15
4.018E+02  7.269E-25  7.747E-15
3.981E+02  7.561E-25  7.984E-15
3.945E+02  7.865E-25  8.229E-15
3.908E+02  8.180E-25  8.481E-15
3.873E+02  8.509E-25  8.741E-15
3.837E+02  8.850E-25  9.008E-15
3.802E+02  9.205E-25  9.284E-15
3.767E+02  9.574E-25  9.567E-15
3.733E+02  9.958E-25  9.859E-15
3.698E+02  1.036E-24  1.016E-14
3.664E+02  1.077E-24  1.047E-14
3.631E+02  1.120E-24  1.079E-14
3.597E+02  1.165E-24  1.112E-14
3.565E+02  1.211E-24  1.145E-14
3.532E+02  1.260E-24  1.180E-14
3.499E+02  1.310E-24  1.216E-14
3.467E+02  1.362E-24  1.253E-14
