Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         4 = grain model
 4.000E-08 4.000E-01 2.250E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 7.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.115E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
4.093E+02  6.586E-25  7.150E-15
4.055E+02  6.851E-25  7.369E-15
4.018E+02  7.126E-25  7.595E-15
3.981E+02  7.412E-25  7.827E-15
3.945E+02  7.710E-25  8.067E-15
3.908E+02  8.019E-25  8.314E-15
3.873E+02  8.341E-25  8.568E-15
3.837E+02  8.675E-25  8.830E-15
3.802E+02  9.023E-25  9.099E-15
3.767E+02  9.384E-25  9.377E-15
3.733E+02  9.760E-25  9.663E-15
3.698E+02  1.015E-24  9.957E-15
3.664E+02  1.056E-24  1.026E-14
3.631E+02  1.098E-24  1.057E-14
3.597E+02  1.142E-24  1.089E-14
3.565E+02  1.187E-24  1.122E-14
3.532E+02  1.234E-24  1.157E-14
3.499E+02  1.284E-24  1.192E-14
3.467E+02  1.335E-24  1.228E-14
3.436E+02  1.388E-24  1.265E-14
3.404E+02  1.443E-24  1.303E-14
3.373E+02  1.500E-24  1.342E-14
3.342E+02  1.560E-24  1.383E-14
3.311E+02  1.622E-24  1.424E-14
3.281E+02  1.686E-24  1.467E-14
3.251E+02  1.753E-24  1.511E-14
3.221E+02  1.822E-24  1.557E-14
3.192E+02  1.894E-24  1.603E-14
3.162E+02  1.969E-24  1.651E-14
3.133E+02  2.046E-24  1.701E-14
3.105E+02  2.127E-24  1.751E-14
3.076E+02  2.210E-24  1.804E-14
3.048E+02  2.297E-24  1.857E-14
3.020E+02  2.387E-24  1.912E-14
2.992E+02  2.481E-24  1.969E-14
2.965E+02  2.578E-24  2.027E-14
2.938E+02  2.679E-24  2.087E-14
2.911E+02  2.783E-24  2.149E-14
2.884E+02  2.892E-24  2.212E-14
2.858E+02  3.004E-24  2.277E-14
2.831E+02  3.121E-24  2.344E-14
2.805E+02  3.242E-24  2.413E-14
2.780E+02  3.368E-24  2.483E-14
2.754E+02  3.498E-24  2.556E-14
2.729E+02  3.634E-24  2.631E-14
2.704E+02  3.775E-24  2.707E-14
2.679E+02  3.921E-24  2.786E-14
2.655E+02  4.072E-24  2.867E-14
2.630E+02  4.229E-24  2.951E-14
2.606E+02  4.392E-24  3.036E-14
2.582E+02  4.561E-24  3.124E-14
2.559E+02  4.735E-24  3.214E-14
2.535E+02  4.916E-24  3.306E-14
2.512E+02  5.101E-24  3.399E-14
2.489E+02  5.291E-24  3.493E-14
2.466E+02  5.484E-24  3.588E-14
2.443E+02  5.683E-24  3.684E-14
2.421E+02  5.888E-24  3.781E-14
2.399E+02  6.098E-24  3.880E-14
2.377E+02  6.312E-24  3.980E-14
2.355E+02  6.533E-24  4.081E-14
2.333E+02  6.761E-24  4.185E-14
2.312E+02  6.996E-24  4.291E-14
2.291E+02  7.239E-24  4.399E-14
2.270E+02  7.489E-24  4.509E-14
2.249E+02  7.747E-24  4.621E-14
2.228E+02  8.013E-24  4.736E-14
2.208E+02  8.287E-24  4.854E-14
2.188E+02  8.570E-24  4.973E-14
2.168E+02  8.862E-24  5.095E-14
2.148E+02  9.162E-24  5.220E-14
2.128E+02  9.472E-24  5.347E-14
2.109E+02  9.790E-24  5.476E-14
2.089E+02  1.012E-23  5.608E-14
2.070E+02  1.046E-23  5.742E-14
2.051E+02  1.080E-23  5.879E-14
2.032E+02  1.116E-23  6.018E-14
2.014E+02  1.153E-23  6.160E-14
1.995E+02  1.191E-23  6.304E-14
1.977E+02  1.230E-23  6.451E-14
