Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         2 = grain model
 4.000E-08 4.000E-01 7.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.426E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
9.908E+02  1.146E-26  3.013E-16
9.817E+02  1.193E-26  3.106E-16
9.727E+02  1.241E-26  3.202E-16
9.638E+02  1.291E-26  3.300E-16
9.550E+02  1.343E-26  3.402E-16
9.462E+02  1.397E-26  3.507E-16
9.376E+02  1.453E-26  3.615E-16
9.290E+02  1.512E-26  3.726E-16
9.204E+02  1.573E-26  3.840E-16
9.120E+02  1.636E-26  3.958E-16
9.036E+02  1.702E-26  4.080E-16
8.954E+02  1.770E-26  4.205E-16
8.872E+02  1.842E-26  4.334E-16
8.790E+02  1.915E-26  4.466E-16
8.710E+02  1.992E-26  4.603E-16
8.630E+02  2.072E-26  4.743E-16
8.551E+02  2.155E-26  4.888E-16
8.472E+02  2.241E-26  5.037E-16
8.395E+02  2.331E-26  5.191E-16
8.318E+02  2.424E-26  5.349E-16
8.241E+02  2.521E-26  5.511E-16
8.166E+02  2.622E-26  5.678E-16
8.091E+02  2.726E-26  5.851E-16
8.017E+02  2.835E-26  6.028E-16
7.943E+02  2.947E-26  6.210E-16
7.870E+02  3.065E-26  6.398E-16
7.798E+02  3.187E-26  6.592E-16
7.727E+02  3.313E-26  6.791E-16
7.656E+02  3.445E-26  6.995E-16
7.586E+02  3.581E-26  7.206E-16
7.516E+02  3.723E-26  7.423E-16
7.447E+02  3.871E-26  7.647E-16
7.379E+02  4.025E-26  7.877E-16
7.311E+02  4.184E-26  8.115E-16
7.244E+02  4.350E-26  8.359E-16
7.178E+02  4.523E-26  8.611E-16
7.112E+02  4.702E-26  8.871E-16
7.047E+02  4.888E-26  9.138E-16
6.982E+02  5.082E-26  9.413E-16
6.918E+02  5.283E-26  9.696E-16
6.855E+02  5.493E-26  9.987E-16
6.792E+02  5.710E-26  1.029E-15
6.730E+02  5.935E-26  1.060E-15
6.668E+02  6.169E-26  1.091E-15
6.607E+02  6.413E-26  1.124E-15
6.546E+02  6.666E-26  1.158E-15
6.486E+02  6.930E-26  1.192E-15
6.427E+02  7.205E-26  1.228E-15
6.368E+02  7.490E-26  1.265E-15
6.310E+02  7.786E-26  1.303E-15
6.252E+02  8.094E-26  1.342E-15
6.194E+02  8.414E-26  1.383E-15
6.138E+02  8.747E-26  1.424E-15
6.081E+02  9.093E-26  1.467E-15
6.026E+02  9.452E-26  1.511E-15
5.970E+02  9.826E-26  1.556E-15
5.916E+02  1.021E-25  1.603E-15
5.861E+02  1.062E-25  1.651E-15
