Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         3 = grain model
 4.000E-08 4.000E-01 1.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.915E+01 = <U> 
     mmp83 = radfield
 3.075E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
3.467E+02  1.332E-24  1.225E-14
3.436E+02  1.385E-24  1.262E-14
3.404E+02  1.440E-24  1.300E-14
3.373E+02  1.497E-24  1.340E-14
3.342E+02  1.557E-24  1.380E-14
3.311E+02  1.618E-24  1.422E-14
3.281E+02  1.683E-24  1.464E-14
3.251E+02  1.749E-24  1.508E-14
3.221E+02  1.818E-24  1.553E-14
3.192E+02  1.890E-24  1.600E-14
3.162E+02  1.964E-24  1.648E-14
3.133E+02  2.042E-24  1.697E-14
3.105E+02  2.122E-24  1.748E-14
3.076E+02  2.206E-24  1.800E-14
3.048E+02  2.292E-24  1.853E-14
3.020E+02  2.382E-24  1.908E-14
2.992E+02  2.475E-24  1.965E-14
2.965E+02  2.572E-24  2.023E-14
2.938E+02  2.672E-24  2.082E-14
2.911E+02  2.777E-24  2.144E-14
2.884E+02  2.885E-24  2.207E-14
2.858E+02  2.997E-24  2.272E-14
2.831E+02  3.113E-24  2.338E-14
2.805E+02  3.234E-24  2.407E-14
2.780E+02  3.359E-24  2.477E-14
2.754E+02  3.489E-24  2.549E-14
2.729E+02  3.624E-24  2.624E-14
2.704E+02  3.765E-24  2.700E-14
2.679E+02  3.910E-24  2.779E-14
2.655E+02  4.061E-24  2.859E-14
2.630E+02  4.217E-24  2.942E-14
2.606E+02  4.380E-24  3.028E-14
2.582E+02  4.548E-24  3.115E-14
2.559E+02  4.722E-24  3.204E-14
2.535E+02  4.901E-24  3.296E-14
2.512E+02  5.086E-24  3.389E-14
2.489E+02  5.275E-24  3.482E-14
2.466E+02  5.468E-24  3.577E-14
2.443E+02  5.666E-24  3.672E-14
2.421E+02  5.870E-24  3.769E-14
2.399E+02  6.079E-24  3.868E-14
2.377E+02  6.292E-24  3.967E-14
2.355E+02  6.512E-24  4.068E-14
2.333E+02  6.740E-24  4.172E-14
2.312E+02  6.974E-24  4.277E-14
2.291E+02  7.215E-24  4.385E-14
2.270E+02  7.465E-24  4.494E-14
2.249E+02  7.721E-24  4.606E-14
2.228E+02  7.987E-24  4.721E-14
2.208E+02  8.260E-24  4.838E-14
2.188E+02  8.542E-24  4.957E-14
2.168E+02  8.832E-24  5.079E-14
2.148E+02  9.131E-24  5.202E-14
2.128E+02  9.440E-24  5.329E-14
2.109E+02  9.757E-24  5.457E-14
2.089E+02  1.008E-23  5.589E-14
2.070E+02  1.042E-23  5.722E-14
2.051E+02  1.077E-23  5.858E-14
2.032E+02  1.112E-23  5.997E-14
2.014E+02  1.149E-23  6.138E-14
1.995E+02  1.187E-23  6.282E-14
1.977E+02  1.226E-23  6.428E-14
1.959E+02  1.266E-23  6.577E-14
1.941E+02  1.307E-23  6.729E-14
1.923E+02  1.349E-23  6.883E-14
